time,depth
2023-08-11 17:03:35.276360,239.4845470173116
2023-08-11 17:03:37.278006,237.21134068385862
2023-08-11 17:03:39.276632,234.4053516160026
2023-08-11 17:03:41.276312,232.20318298047005
2023-08-11 17:03:43.287886,230.0720520428579
2023-08-11 17:03:45.276567,227.5857326156437
2023-08-11 17:03:47.277216,226.20049750619583
2023-08-11 17:03:49.276884,223.74969692794184
2023-08-11 17:03:51.276562,221.6185659903297
2023-08-11 17:03:53.276224,219.0612088651951
2023-08-11 17:03:55.287836,216.89455907862276
2023-08-11 17:03:57.276501,214.72790929205038
2023-08-11 17:03:59.277166,212.73885375027905
2023-08-11 17:04:01.276812,210.74979820850768
2023-08-11 17:04:03.277422,209.1869688542588
2023-08-11 17:04:05.288071,206.91376252080585
2023-08-11 17:04:07.275766,204.32088654671105
2023-08-11 17:04:09.275391,202.40286870286013
2023-08-11 17:04:11.277021,199.84551157772555
2023-08-11 17:04:13.276674,197.998531431795
2023-08-11 17:04:15.276323,196.4357020775461
2023-08-11 17:04:17.288986,194.58872193161557
2023-08-11 17:04:19.281628,192.4931098429636
2023-08-11 17:04:21.278271,190.43301660327185
2023-08-11 17:04:23.278919,188.69259300422192
2023-08-11 17:04:25.276577,187.129763649973
2023-08-11 17:04:27.291187,184.82103846755984
2023-08-11 17:04:29.287863,183.22269026435072
2023-08-11 17:04:31.278522,181.5533043632212
2023-08-11 17:04:33.278191,179.31561687872843
2023-08-11 17:04:35.277826,177.57519327967853
2023-08-11 17:04:37.278498,175.65717543582758
2023-08-11 17:04:39.289097,173.88123298781744
2023-08-11 17:04:41.277798,172.06977169084712
2023-08-11 17:04:43.279423,170.7910931282798
2023-08-11 17:04:45.277098,169.58345226363295
2023-08-11 17:04:47.277729,169.26378262299113
2023-08-11 17:04:49.278378,169.12170722715032
2023-08-11 17:04:51.295998,169.0861883781901
2023-08-11 17:04:53.278698,168.44684909690648
2023-08-11 17:04:55.279860,167.9140663625034
2023-08-11 17:04:57.283512,167.20368938329938
2023-08-11 17:04:59.277197,166.67090664889633
2023-08-11 17:05:01.287794,165.53430348216983
2023-08-11 17:05:03.279478,163.26109714871689
2023-08-11 17:05:05.278116,161.6627489455078
2023-08-11 17:05:07.279783,160.8102965704629
2023-08-11 17:05:09.276438,159.74473110165684
2023-08-11 17:05:11.287060,158.1463828984477
2023-08-11 17:05:13.278721,155.55350692435292
2023-08-11 17:05:15.277386,152.78303670545714
2023-08-11 17:05:17.278019,150.04808533552153
2023-08-11 17:05:19.278667,148.52077483023282
2023-08-11 17:05:21.289291,147.06450202286453
2023-08-11 17:05:23.292936,145.572710366536
2023-08-11 17:05:25.278637,144.96888993421257
2023-08-11 17:05:27.281294,144.75577684045135
2023-08-11 17:05:29.279934,144.3650695018891
